PATH,substrate,ID_local,E_tot_SR,target_MAE,Feature_PT6_div3000,target_top_p_y:z,target_top_p_y:x,target_top_p_z:x,target_top_d_xy:yz,target_top_d_xy:z2-r2,target_top_d_xy:xz,target_top_d_xy:x2-y2,target_top_d_yz:z2-r2,target_top_d_yz:xz,target_top_d_yz:x2-y2,target_top_d_z2-r2:xz,target_top_d_z2-r2:x2-y2,target_top_d_xz:x2-y2,target_bottom_p_y:z,target_bottom_p_y:x,target_bottom_p_z:x,target_bottom_d_xy:yz,target_bottom_d_xy:z2-r2,target_bottom_d_xy:xz,target_bottom_d_xy:x2-y2,target_bottom_d_yz:z2-r2,target_bottom_d_yz:xz,target_bottom_d_yz:x2-y2,target_bottom_d_z2-r2:xz,target_bottom_d_z2-r2:x2-y2,target_bottom_d_xz:x2-y2,target_ecos_top,target_ecos_bottom
06_NCL_OsPt_Ir/,implicit,38,-428.56678,56.0599999999454,1.15084271666667,-0.0007003,-0.0001438999999999,-0.0009751999999999,0.0226747999999999,0.0,0.0055519,0.0401567,-0.001731,-0.0134876,0.0014836,0.0196799999999999,0.0,0.009884,0.0005142999999999,0.0007221999999999,0.0011683,-0.0059056,0.0,-0.0003781999999999,-0.0025099,0.0052606,-0.0061146999999999,0.0017690999999999,-0.011959,0.0,-0.0036516,0.1647862999999999,-0.042169
06_NCL_OsPt_Ir/,implicit,39,-428.34386,39.8399999999697,1.29517641,-0.0015003999999999,-0.0009189,-0.0010167,0.0083431999999999,0.0,0.0100713,0.0339250999999999,0.0064627,-0.0177978,0.0140213,0.0083947999999999,0.0,0.0122447999999999,0.0006270999999999,0.0004126,0.0005440999999999,-0.0021974999999999,0.0,-0.0024283,-0.0043158,0.0017631999999999,-0.0118148999999999,-0.0043212,-0.0027527,0.0,-0.0023711,0.144459,-0.0537093999999999
06_NCL_OsPt_Ir/,implicit,40,-428.60555,0.499999999988177,0.655616298,-0.0005734,-0.0008822,-0.0006635,-0.0004947999999999,0.0,0.0158368,0.0173183,0.0037042,-0.0185553,0.0038225999999999,0.0026018,0.0,0.0074791999999999,-0.0001064999999999,-9.950000000000064e-05,-0.0004383999999999,0.0011711,0.0,-0.0076561999999999,-0.0059359999999999,6.560000000000593e-05,-0.0141232999999999,-0.0048848999999999,0.0066125999999999,0.0,-0.0054593,0.0591874,-0.0617095999999999
06_NCL_OsPt_Ir/,implicit,41,-428.37389,-35.8999999999696,1.144116085,-0.0007393999999999,-0.0014253,-0.0006905,0.0017044,0.0,0.0103754,0.0220724999999999,0.0024901999999999,-0.0318994,-0.0033112,0.0099871,0.0,0.0024313999999999,-0.0005175,-0.00153,-0.0009323,-0.0052315999999999,0.0,-0.0060942999999999,-0.0012993999999999,0.0021691999999999,-0.0219235999999999,-0.0025722999999999,0.0009361,0.0,-0.003307,0.0219907,-0.080605
06_NCL_OsPt_Ir/,implicit,42,-428.33072,-26.4900000000239,1.27744907333333,-0.0006670999999999,-0.0013548,-0.0006103,-0.0029933,0.0,-0.0017022,0.0231110999999999,0.009213,-0.0308685,0.0101576999999999,0.0025643999999999,0.0,0.0036548999999999,-0.0006078,-0.0013729999999999,-0.0006508,-0.0005129999999999,0.0,-0.0043815,-0.0050092,-0.0016784999999999,-0.0214066999999999,-0.0087034,0.007045,0.0,-0.0045074,0.0210097,-0.0835723
06_NCL_OsPt_Ir/,implicit,43,-430.12763,118.220000000008,0.795589826666667,-0.0018692,0.0005704,-8.99999999999998e-05,-0.0026277999999999,0.0,0.0268237999999999,0.011886,0.0264670999999999,-0.0013258,0.02409,0.0016058,0.0,0.013081,0.0019217999999999,0.0011138,0.0015697,0.0103804999999999,0.0,-0.007947,-0.0090801,-0.014204,0.0064598,-0.0101971,-0.0009986999999999,0.0,-0.0025803,0.1972226,-0.0471234999999999
06_NCL_OsPt_Ir/,implicit,44,-430.17234,116.809999999987,0.771509266666667,-0.0008874999999999,0.000868,-0.0009790999999999,0.0132583,0.0,0.0068155,0.0214659,0.0120976,-0.0036493,0.0123172,0.0137843,0.0,0.0265214999999999,0.0011365999999999,0.0012925,0.0019478999999999,-0.0005464999999999,0.0,0.0016636,-0.0109437999999999,-0.0073718,0.0074355999999999,-0.0010260999999999,-0.0122103999999999,0.0,-0.0077623,0.203225,-0.0527692999999999
06_NCL_OsPt_Ir/,implicit,45,-430.12401,122.659999999996,0.470063153333333,0.0007044,0.0015248,0.0001578,0.0258011999999999,0.0,-6.130000000000024e-05,0.0369995,-0.0067476,-0.0072378,0.0043804999999999,0.0226871,0.0,0.0204146,0.0012893999999999,0.0014698,0.0018335999999999,-0.0054439,0.0,0.0053609,-0.0065163,-0.0043423999999999,0.0114266999999999,0.0034071,-0.0201507,0.0,-0.0071931,0.1972469,-0.0377176999999999
06_NCL_OsPt_Ir/,implicit,46,-428.31102,68.2899999999904,1.18344071333333,-0.0021689,-0.0011116,-0.0008246999999999,0.0096928,0.0,0.0184715999999999,0.0186459999999999,0.0180241999999999,-0.0086020999999999,0.0114994,0.0004038,0.0,0.0044857999999999,0.0003709,2.480000000000017e-05,-1.5899999999999248e-05,0.0006951,0.0,-0.0083236,-0.005894,-0.0082633999999999,-0.0071266,-0.0073388999999999,5.8499999999996055e-05,0.0,0.0052495999999999,0.1370327,-0.0611267999999999
06_NCL_OsPt_Ir/,implicit,47,-430.09385,113.900000000001,1.01618914666667,-0.0004968,0.0016157999999999,0.0009207,0.0059903,0.0,0.0362136,0.0309969999999999,0.0151303,-0.0001735,0.0210223999999999,-0.0029153999999999,0.0,-0.0177744,0.0011263999999999,0.0006891,0.0001749,-0.003365,0.0,-0.0116104,-0.0031217999999999,-0.0213879999999999,0.0080991999999999,-0.0044933,2.5600000000000626e-05,0.0,0.0136925,0.1810596,-0.0403415999999999
