PATH,substrate,ID_local,E_tot_SR,target_MAE,AtomID_bottom,AtomID_top,Feature_PT6_div3000,target_top_p_y:z,target_top_p_y:x,target_top_p_z:x,target_top_d_xy:yz,target_top_d_xy:z2-r2,target_top_d_xy:xz,target_top_d_xy:x2-y2,target_top_d_yz:z2-r2,target_top_d_yz:xz,target_top_d_yz:x2-y2,target_top_d_z2-r2:xz,target_top_d_z2-r2:x2-y2,target_top_d_xz:x2-y2,target_bottom_p_y:z,target_bottom_p_y:x,target_bottom_p_z:x,target_bottom_d_xy:yz,target_bottom_d_xy:z2-r2,target_bottom_d_xy:xz,target_bottom_d_xy:x2-y2,target_bottom_d_yz:z2-r2,target_bottom_d_yz:xz,target_bottom_d_yz:x2-y2,target_bottom_d_z2-r2:xz,target_bottom_d_z2-r2:x2-y2,target_bottom_d_xz:x2-y2,target_ecos_top,target_ecos_bottom
ExplicitSubsrates,explicit,21,,21.0,184,185,0.129846055666667,0.00025600000000000015,0.0009217000000000001,1.4499999999999756e-05,-0.008809500000000001,0.0,0.006686899999999999,0.02039740000000001,-0.0060936999999999936,0.0018497000000000027,0.007670200000000002,-0.009963300000000008,0.0,-0.008858499999999998,-2.0099999999995122e-05,0.00034620000000000137,-0.0001477000000000006,0.0011990000000000021,0.0,-0.0019469000000000014,-0.0011263999999999927,0.00025410000000000016,0.0031085,-0.0025730000000000024,0.0024563999999999975,0.0,0.0036588000000000002,0.008142700000000058,0.01041750000000008
ExplicitSubsrates,explicit,20,,29.9,150,151,-2.72666666666765e-06,0.0001207999999999999,-0.0005025999999999997,0.00017,-0.0154508,0.0,-0.014767799999999998,0.07658809999999999,-0.006845299999999999,-0.0030192999999999956,-0.004235799999999998,-0.012055999999999997,0.0,-0.0033104000000000015,0.0003449,0.000285,0.0005035,-0.0001543,0.0,-0.00021720000000000008,0.0011947999999999993,-0.00048059999999999986,-0.0026276000000000008,0.0002367999999999999,-0.0006019999999999999,0.0,0.00011910000000000002,0.03338170000000007,-0.002794999999999999
ExplicitSubsrates,explicit,29,,42.0,150,151,0.0721354206666667,9.529999999999955e-05,-7.129999999999984e-05,-0.00025100000000000035,0.0002155000000000004,0.0,-0.0016962000000000019,0.012334800000000007,-0.0077564999999999995,0.0004994999999999999,-0.0020587999999999995,-0.009464299999999995,0.0,0.002566800000000001,0.0007043000000000015,0.0006149999999999975,-0.00045810000000000295,-0.0007204999999999989,0.0,-0.002201999999999999,-0.002746399999999996,-1.409999999999606e-05,-0.001566899999999996,0.0011684,0.004075100000000005,0.0,0.0020856999999999994,-0.011172799999999983,0.0018809000000000742
ExplicitSubsrates,explicit,27,,46.7,150,151,0.0828313841333333,3.9800000000000425e-05,3.680000000000003e-05,1.1299999999999678e-05,-0.0006022000000000007,0.0,0.0025337,0.0344053,-0.008980699999999994,-0.003715000000000003,-0.005576299999999999,-0.0006933999999999968,0.0,-0.0102316,0.0004421000000000008,0.0004448999999999981,-0.00013210000000000305,0.0006040999999999998,0.0,0.0003709999999999998,0.0005026999999999948,0.001975699999999997,-0.0016856999999999983,-0.0012155000000000013,0.000954499999999997,0.0,-0.00018460000000000004,0.014455400000000118,0.004154000000000102
ExplicitSubsrates,explicit,28,,48.3,150,151,0.0886175846333333,-8.019999999999989e-05,-9.999999999999593e-06,-8.239999999999983e-05,-0.0019050000000000004,0.0,-0.0032993999999999975,0.030568599999999974,-0.007476800000000006,-0.003605199999999996,-0.0013448000000000002,-0.0074507999999999935,0.0,-0.002666400000000003,0.0003712000000000021,7.399999999997686e-06,0.0003804999999999989,-0.0007157999999999991,0.0,-0.0008095000000000012,0.002263299999999996,0.002330799999999994,-0.0010102000000000028,0.0012569999999999977,0.0023289999999999977,0.0,0.0011987999999999999,0.005295300000000003,0.015204400000000007
ExplicitSubsrates,explicit,25,,49.8,184,185,0.22692188,0.0003870999999999996,-0.0024206999999999996,-0.0005050000000000002,-0.041676899999999996,0.0,-0.0154637,0.04662250000000001,0.0279354,-0.022781299999999997,0.021150199999999997,-0.019155400000000003,0.0,0.013106200000000002,0.0008746000000000001,-0.00030020000000000003,-0.00031090000000000024,0.0006073000000000001,0.0,-0.0008265,0.002166199999999999,-0.010648000000000001,-0.010658500000000001,-0.001572,0.0071802,0.0,0.00012330000000000002,0.01439670000000004,-0.026729
ExplicitSubsrates,explicit,3,,75.6,150,151,1.059294728,-0.00017710000000000035,-0.0005529000000000003,1.6799999999999975e-05,0.0154151,0.0,0.002319700000000001,0.032751399999999986,-0.0013767000000000085,-0.015817199999999997,-0.002108899999999997,0.033673800000000004,0.0,-0.000808200000000002,3.780000000000016e-05,3.720000000000004e-05,2.3400000000000027e-05,-0.0017834,0.0,-0.0007215,6.540000000000018e-05,0.0007249000000000001,-0.0036398,0.0003236999999999999,-0.0076809,0.0,-0.0005849,0.12667170000000005,-0.026396700000000002
ExplicitSubsrates,explicit,4,,76.5,150,151,0.58259801,-4.2600000000000277e-05,-0.0003486000000000001,-5.010000000000084e-05,0.015764999999999998,0.0,0.0179201,0.01239649999999999,0.021324699999999995,-0.012000700000000003,0.006847899999999997,0.020628099999999996,0.0,0.008909199999999999,0.0002302999999999999,0.00017970000000000009,0.00025180000000000016,-0.0019393,0.0,-0.0020016,-0.0010775999999999997,-0.0053154,-0.0026945000000000007,-0.0007331999999999999,-0.0051291,0.0,-0.0010558,0.1826991,-0.03856939999999999
ExplicitSubsrates,explicit,2,,77.3,150,151,1.25254154533333,-0.00021549999999999955,-0.0003889000000000002,4.480000000000022e-05,0.0070005,0.0,-0.0003567999999999974,0.025607000000000005,0.0026824000000000014,-0.008992400000000001,0.0006632999999999986,0.026432199999999996,0.0,0.006937599999999999,-6.22000000000001e-05,0.00019329999999999998,0.00038410000000000007,-0.001604,0.0,-6.48999999999999e-05,-0.0007143000000000002,0.0005549999999999999,-0.0021727,-0.0002327999999999998,-0.00748,0.0,-0.0016063000000000002,0.11882840000000006,-0.0256095
ExplicitSubsrates,explicit,13,,78.1,150,151,1.02402038333333,-0.0007994999999999999,0.00025369999999999907,-0.0007894999999999994,0.004269200000000001,0.0,0.008752199999999998,0.0394818,0.0061562000000000006,-0.0064694,0.0102299,0.0065669000000000005,0.0,0.0132408,0.0007210999999999988,0.00043270000000000114,0.0007086000000000002,-0.000792000000000001,0.0,-0.001876599999999999,-0.0012875999999999999,-0.003182199999999996,-0.002211499999999998,-0.0021568000000000004,-0.003803799999999996,0.0,-0.0030015000000000007,0.16178460000000006,-0.03289959999999992
ExplicitSubsrates,explicit,14,,111.5,150,151,1.1614949,-0.0009351999999999989,0.0015645999999999993,-0.00045050000000000125,0.011113400000000002,0.0,0.026963699999999997,0.03736329999999999,0.020236499999999998,-0.004833900000000002,0.0160015,0.002174300000000004,0.0,0.002186599999999997,0.002421099999999999,0.001773199999999999,0.0010013999999999995,-0.000889899999999999,0.0,-0.007126900000000002,-0.007252599999999998,-0.0160815,0.002093699999999997,-0.0032803,-0.0001588000000000006,0.0,0.0012375999999999984,0.22276820000000008,-0.052525399999999944
ExplicitSubsrates,explicit,12,,114.9,150,151,1.13510769333333,-0.0008642999999999993,5.7399999999999986e-05,-0.0005449000000000001,-0.0010905000000000012,0.0,0.008962500000000002,0.04599460000000001,0.008182400000000006,-0.0023108000000000017,0.0086713,0.0012396999999999964,0.0,-0.000762299999999997,0.0013777000000000025,0.00020569999999999963,6.47999999999968e-05,0.0007918999999999982,0.0,-0.004063200000000003,-0.002980700000000003,-0.0064761000000000055,-0.00030809999999999865,-0.003821100000000001,0.0026559999999999986,0.0,0.0005379000000000009,0.13507009999999997,-0.024031000000000025
ExplicitSubsrates,explicit,22,,117.7,150,151,0.09460682,0.0007587999999999996,-0.0015705000000000003,-0.00011180000000000044,-0.012180200000000002,0.0,-0.015026599999999998,0.11004880000000002,0.012288900000000005,-0.033138600000000004,-0.0220529,-0.015727000000000005,0.0,-0.022838200000000003,0.0008266999999999997,0.00020570000000000007,3.460000000000008e-05,0.0003407999999999998,0.0,-0.00045240000000000015,0.0014885000000000002,-0.0072318999999999994,-0.0096562,0.00048050000000000024,0.0038712,0.0,0.0009572000000000001,0.0009015999999999469,-0.0182707
ExplicitSubsrates,explicit,10,,128.0,184,185,0.441718483333333,-0.00025859999999999946,0.0006337000000000001,-0.00030650000000000035,0.0205077,0.0,0.0198291,0.0075304999999999955,0.0204636,0.0029771,0.013560699999999998,0.019532499999999994,0.0,0.0125619,0.0003560999999999998,0.00016580000000000002,0.0003831999999999998,-0.0019749,0.0,-0.0018263,-0.0016197999999999994,-0.005767100000000001,0.0022825000000000007,-0.0011045,-0.005407,0.0,-0.0009073999999999998,0.2340641,-0.030838699999999997
ExplicitSubsrates,explicit,18,,150.9,184,185,0.95945078,-0.0008944000000000001,0.0030624,0.0011202,0.0061388,0.0,0.0167939,0.05525269999999999,0.03112170000000001,0.0003738999999999999,0.014225400000000003,0.008674999999999988,0.0,-0.0032077999999999968,0.0017387999999999987,0.0011411999999999985,0.0008755000000000013,-0.0016871000000000004,0.0,-0.006051999999999998,0.0002732000000000012,-0.025497900000000004,0.007309000000000003,-0.0012036000000000026,-0.010808699999999997,0.0,0.0027753999999999973,0.26532370000000005,-0.06227209999999994
